vacancy_id,query,title,locations,salary_range_from,salary_range_to,currency,published_at,employer,details_url,date_added,source
118918029,c#,C#/.NET Developer,Минск,,,,2025-05-15T22:15:58+0300,Леста Игры,https://api.hh.ru/vacancies/118918029?host=hh.ru,2025-05-16 00:00:36.846234,hh
119454703,c#,QA engineer,Санкт-Петербург,,,,2025-05-15T21:51:25+0300,ATI.SU,https://api.hh.ru/vacancies/119454703?host=hh.ru,2025-05-16 00:00:36.846258,hh
120606440,c#,Fullstack Разработчик .NET (Middle+),Москва,,,,2025-05-15T21:38:18+0300,Плеядатех,https://api.hh.ru/vacancies/120606440?host=hh.ru,2025-05-16 00:00:36.846264,hh
120606364,c#,Senior .NET Software Engineer,Минск,,,,2025-05-15T21:19:57+0300,Syberry CIS,https://api.hh.ru/vacancies/120606364?host=hh.ru,2025-05-16 00:00:36.846268,hh
120606341,c#,Lead Automation QA Engineer,Минск,,,,2025-05-15T21:14:06+0300,Syberry CIS,https://api.hh.ru/vacancies/120606341?host=hh.ru,2025-05-16 00:00:36.846272,hh
120434195,c#,QA Automation Engineer / Manual / Тестировщик ПО,Краснодар,,,,2025-05-15T19:13:00+0300,Justice IT,https://api.hh.ru/vacancies/120434195?host=hh.ru,2025-05-16 00:00:36.846276,hh
120605060,c#,"Руководитель группы разработки, Приемка Fulfillment",Москва,,,,2025-05-15T19:09:35+0300,Ozon,https://api.hh.ru/vacancies/120605060?host=hh.ru,2025-05-16 00:00:36.846280,hh
119709333,c#,Junior D365FO Developer / Младший программист,Москва,80000.0,100000.0,RUR,2025-05-15T18:54:40+0300,Солюшенс Фэктори Консалтинг,https://api.hh.ru/vacancies/119709333?host=hh.ru,2025-05-16 00:00:36.846284,hh
120604906,c#,Java-разработчик,Санкт-Петербург,,,,2025-05-15T18:53:59+0300,The AnyLogic Company,https://api.hh.ru/vacancies/120604906?host=hh.ru,2025-05-16 00:00:36.846287,hh
120604409,c#,XML / XSLT‑программист,Новосибирск,,,,2025-05-15T18:23:38+0300,Контур,https://api.hh.ru/vacancies/120604409?host=hh.ru,2025-05-16 00:00:36.846291,hh
120604249,c#,Middle С# Developer (Unity 3D),Санкт-Петербург,,,,2025-05-15T18:14:17+0300,Gachi Games,https://api.hh.ru/vacancies/120604249?host=hh.ru,2025-05-16 00:00:36.846294,hh
119891755,c#,Специалист по сопровождению и развитию ИС,Челябинск,42000.0,80000.0,RUR,2025-05-15T17:55:14+0300,Областное государственное бюджетное учреждение Челябинский региональный центр навигационно-информационных технологий,https://api.hh.ru/vacancies/119891755?host=hh.ru,2025-05-16 00:00:36.846298,hh
117752843,c#,Senior .NET C# back-end разработчик,Москва,350000.0,,RUR,2025-05-15T17:38:30+0300,ОНТАРГЕТ,https://api.hh.ru/vacancies/117752843?host=hh.ru,2025-05-16 00:00:36.846302,hh
120431092,c#,Системный аналитик,Минск,,,,2025-05-15T17:33:40+0300,Бэлл Интегратор,https://api.hh.ru/vacancies/120431092?host=hh.ru,2025-05-16 00:00:36.846306,hh
120126773,c#,Software Architect,Москва,500000.0,,RUR,2025-05-15T17:24:30+0300,ZennoLab,https://api.hh.ru/vacancies/120126773?host=hh.ru,2025-05-16 00:00:36.846309,hh
120601962,c#,Разработчик,Чебоксары,40000.0,200000.0,RUR,2025-05-15T17:15:52+0300,Гарант-Чебоксары,https://api.hh.ru/vacancies/120601962?host=hh.ru,2025-05-16 00:00:36.846313,hh
118395157,c#,C#/.NET-разработчик в офис,Таганрог,,,,2025-05-15T16:57:35+0300,WISERV,https://api.hh.ru/vacancies/118395157?host=hh.ru,2025-05-16 00:00:36.846317,hh
120601093,c#,Программист С#,Москва,,,,2025-05-15T16:56:30+0300,"Ю-Софт, Группа компаний",https://api.hh.ru/vacancies/120601093?host=hh.ru,2025-05-16 00:00:36.846320,hh
120601089,c#,Программист С# (удаленная работа),Москва,,,,2025-05-15T16:56:26+0300,"Ю-Софт, Группа компаний",https://api.hh.ru/vacancies/120601089?host=hh.ru,2025-05-16 00:00:36.846324,hh
120599445,c#,Java разработчик/Java Developer (ученик),Краснодар,70000.0,80000.0,RUR,2025-05-15T16:27:42+0300,Aston,https://api.hh.ru/vacancies/120599445?host=hh.ru,2025-05-16 00:00:36.846327,hh
120351830,c#,Senior .NET Developer,Москва,,,,2025-05-15T16:25:43+0300,Spotware Systems Ltd,https://api.hh.ru/vacancies/120351830?host=hh.ru,2025-05-16 00:00:36.846331,hh
120425632,c#,Программист C# (middle developer),Ставрополь,100000.0,150000.0,RUR,2025-05-15T16:25:37+0300,ОНИТ,https://api.hh.ru/vacancies/120425632?host=hh.ru,2025-05-16 00:00:36.846334,hh
119781375,c#,Программист С++,Санкт-Петербург,,,,2025-05-15T16:20:45+0300,Renga Software,https://api.hh.ru/vacancies/119781375?host=hh.ru,2025-05-16 00:00:36.846338,hh
120573351,c#,Системный архитектор / Solution Architect,Москва,,,,2025-05-15T16:12:07+0300,Hoff Tech,https://api.hh.ru/vacancies/120573351?host=hh.ru,2025-05-16 00:00:36.846342,hh
120598295,c#,.NET-разработчик (middle+/senior),Санкт-Петербург,,,,2025-05-15T16:11:16+0300,Directum,https://api.hh.ru/vacancies/120598295?host=hh.ru,2025-05-16 00:00:36.846347,hh
118601695,c#,Backend разработчик ПО ( C # ),Москва,,,,2025-05-15T16:08:38+0300,Корпорация Галактика,https://api.hh.ru/vacancies/118601695?host=hh.ru,2025-05-16 00:00:36.846353,hh
120123314,c#,Стажер-разработчик 1С,Москва,33116.0,33116.0,RUR,2025-05-15T16:03:31+0300,Компания Trisoft,https://api.hh.ru/vacancies/120123314?host=hh.ru,2025-05-16 00:00:36.846359,hh
